Task,Mode,BaselineScore,Score_V1,Score_V2
development of ai in the field of robotics,engineering,8.5,8.5,8.5
How far is Indian law made in the field of road safety,engineering,8.0,7.5,7.5
summarize the pdf,research,8.0,7.5,8.0
summarize this paper,research,2.0,2.0,7.5
summarize the pdf,research,6.0,9.0,8.5
summarize this paper,research,8.5,9.0,8.0
summarize the pdf,research,6.0,4.0,6.5
summairze the paper,research,7.5,8.5,8.5
summarize this paper,research,8.0,8.5,7.5
summarize the pdf,research,7.0,7.5,6.0
summarize this pdf,research,5.0,1.0,1.0
